index,pos,vel,duty
503,-13.0078,-8.7513,-64
504,-13.0298,-10.0734,-64
505,-12.9639,-2.4743,-64
506,-12.9858,-4.4241,-67
507,-12.9639,-1.7844,-67
508,-13.0298,-8.1978,-67
509,-13.0298,-7.3780,-67
510,-13.0298,-6.6402,-65
511,-12.9639,0.6156,-65
512,-13.0957,-12.6295,-68
513,-13.0518,-6.9721,-68
514,-13.0957,-10.6694,-65
515,-13.0737,-7.4052,-65
516,-13.1177,-11.0592,-65
517,-13.1177,-9.9533,-65
518,-12.9858,4.2256,-64
519,-13.0737,-4.9860,-64
520,-13.1616,-13.2764,-66
521,-13.2495,-20.7379,-66
522,-13.1177,-5.4805,-59
523,-13.1836,-11.5242,-59
524,-13.0078,7.2063,-63
525,-13.1396,-6.6979,-63
526,-13.1396,-6.0281,-65
527,-13.2275,-14.2144,-65
528,-13.1836,-8.3984,-62
529,-13.1836,-7.5586,-62
530,-13.1836,-6.8027,-65
531,-13.1836,-6.1224,-65
532,-13.1836,-5.5102,-66
533,-13.2715,-13.7482,-66
534,-13.2495,-10.1761,-62
535,-13.2935,-13.5531,-62
536,-13.2275,-5.6060,-62
537,-13.2275,-5.0454,-62
538,-13.1836,-0.1463,-66
539,-13.2495,-6.7235,-66
540,-13.2495,-6.0511,-65
541,-13.2056,-1.0515,-65
542,-13.2056,-0.9463,-68
543,-13.2935,-9.6408,-68
544,-13.2715,-6.4794,-64
545,-13.2715,-5.8315,-64
546,-13.3154,-9.6429,-66
547,-13.2715,-4.2840,-66
548,-13.2275,0.5389,-67
549,-13.2715,-3.9095,-67
550,-13.3374,-10.1104,-67
551,-13.2935,-4.7048,-67
552,-13.4033,-15.2206,-67
553,-13.3374,-7.1068,-67
554,-13.3154,-4.1988,-66
555,-13.3594,-8.1735,-66
556,-13.3594,-7.3561,-65
557,-13.3594,-6.6205,-65
558,-13.3594,-5.9585,-66
559,-13.1616,14.4128,-66
560,-13.3594,-6.8039,-75
561,-13.4473,-14.9126,-75
562,-13.4692,-15.6186,-63
563,-13.2935,3.5214,-63
564,-13.2935,3.1693,-71
565,-13.4912,-16.9231,-71
566,-13.4473,-10.8362,-62
567,-13.4912,-14.1471,-62
568,-13.4473,-8.3379,-63
569,-13.5791,-20.6877,-63
570,-13.4912,-9.8299,-60
571,-13.4473,-4.4523,-60
572,-13.4473,-4.0071,-67
573,-13.5132,-10.1982,-67
574,-13.5791,-15.7702,-65
575,-13.6230,-18.5877,-65
576,-13.5571,-10.1371,-61
577,-13.5791,-11.3207,-61
578,-13.4692,0.7977,-64
579,-13.5571,-8.0711,-64
580,-13.6450,-16.0531,-65
581,-13.5571,-5.6587,-65
582,-13.6230,-11.6846,-67
583,-13.6670,-14.9107,-67
584,-13.6890,-15.6169,-62
585,-13.6011,-5.2661,-62
586,-13.7109,-15.7258,-67
587,-13.6670,-9.7587,-67
588,-13.6670,-8.7829,-65
589,-13.7769,-18.8909,-65
590,-13.6450,-3.8182,-61
591,-13.6670,-5.6337,-61
592,-13.5791,3.7188,-66
593,-13.7549,-14.2312,-66
594,-13.6670,-4.0190,-63
595,-13.6670,-3.6171,-63
596,-13.7109,-7.6500,-67
597,-13.6890,-4.6877,-67
598,-13.5571,8.9647,-67
599,-13.5791,5.8709,-67
600,-13.7109,-7.8998,-72
601,-13.6890,-4.9125,-72
602,-13.8647,-21.9994,-67
603,-13.7769,-11.0104,-67
604,-13.5791,9.8660,-64
605,-13.4912,17.6685,-64
606,-13.7988,-14.8601,-76
607,-13.8428,-17.7686,-76
608,-13.7988,-11.5972,-64
609,-13.9526,-25.8183,-64
610,-13.9087,-18.8420,-58
611,-13.9307,-19.1550,-58
612,-13.8428,-8.4505,-61
613,-13.9087,-14.1972,-61
614,-13.9307,-14.9748,-63
615,-13.8867,-9.0828,-63
616,-13.9307,-12.5690,-65
617,-13.9087,-9.1148,-65
618,-13.9526,-12.5979,-65
619,-13.9966,-15.7326,-65
620,-13.9307,-7.5676,-62
621,-13.8867,-2.4163,-62
622,-14.0845,-21.9500,-68
623,-13.9746,-8.7687,-68
624,-13.9307,-3.4973,-65
625,-13.9526,-5.3448,-65
626,-14.0405,-13.5994,-67
627,-14.0186,-10.0422,-67
628,-14.0405,-11.2353,-65
629,-14.1064,-16.7035,-65
630,-14.1064,-15.0332,-62
631,-14.1284,-15.7271,-62
632,-14.0186,-3.1681,-62
633,-14.2163,-22.6267,-62
634,-14.2383,-22.5613,-59
635,-14.1943,-15.9106,-59
636,-14.0625,-1.1360,-62
637,-14.4360,-38.3759,-62
638,-14.1724,-8.1711,-52
639,-14.1504,-5.1567,-52
640,-14.1724,-6.8383,-64
641,-14.2163,-10.5490,-64
642,-14.1943,-7.2968,-64
643,-14.1724,-4.3699,-64
644,-14.2383,-10.5247,-67
645,-14.1943,-5.0777,-67
646,-14.2163,-6.7672,-67
647,-14.1943,-3.8932,-67
648,-14.2822,-12.2929,-67
649,-14.1284,4.3172,-67
650,-14.2163,-4.9036,-71
651,-14.2163,-4.4132,-71
652,-14.2822,-10.5637,-67
653,-14.3262,-13.9019,-67
654,-14.3481,-14.7089,-63
655,-14.2163,-0.0544,-63
656,-14.3042,-8.8381,-69
657,-14.3042,-7.9543,-69
658,-14.3042,-7.1588,-66
659,-14.3262,-8.6402,-66
660,-14.3921,-14.3680,-65
661,-14.3921,-12.9312,-65
662,-14.4360,-16.0326,-63
663,-14.4360,-14.4293,-63
664,-14.3701,-6.3946,-63
665,-14.4141,-10.1497,-63
666,-14.4360,-11.3320,-64
667,-14.3262,0.7875,-64
668,-14.4580,-12.4748,-69
669,-14.4360,-9.0301,-69
670,-14.4141,-5.9298,-65
671,-14.4360,-7.5341,-65
672,-14.5459,-17.7670,-66
673,-14.4141,-2.8067,-66
674,-14.5020,-11.3151,-68
675,-14.6118,-21.1699,-68
676,-14.5679,-14.6584,-60
677,-14.5679,-13.1925,-60
678,-14.5679,-11.8733,-63
679,-14.5898,-12.8832,-63
680,-14.5679,-9.3976,-63
681,-14.4800,0.3312,-63
682,-14.3701,11.2844,-69
683,-14.6997,-22.8030,-69
684,-14.6118,-11.7337,-59
685,-14.6997,-19.3494,-59
686,-14.7876,-26.2035,-60
687,-14.7217,-16.9913,-60
688,-14.7656,-19.6867,-61
689,-14.7656,-17.7181,-61
690,-14.7437,-13.7490,-61
691,-14.7876,-16.7686,-61
692,-14.7876,-15.0918,-61
693,-14.8315,-17.9771,-61
694,-14.8315,-16.1794,-60
695,-14.8535,-16.7587,-60
696,-14.8096,-10.6883,-61
697,-14.8975,-18.4085,-61
698,-14.8755,-14.3704,-60
699,-14.9194,-17.3279,-60
